REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEOGRY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_DHRE_SE,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE-TO-HOME RANDOM EFFECT STANDARD ERROR (FEE-FOR-SERVICE DATA),Discharge-to-Home Random Effect Standard Error (Fee-for-Service Data) (Outcomes),N/A,DECIMAL_2,LOWER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,DOMAIN,CANCER,D_CAN_USNR_METELIG,U.S. NEWS RANK,ELIGIBLE FOR METRO AREA-LEVEL RANK,Eligible for Metro Area-Level Rank (U.S. News Values),Eligible for Metro Area-Level Rank for the Cancer specialty in the 2026-2027 USNWR methodology (U.S. News Values domain).,STRING,LOWER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,DOMAIN,CANCER,D_CAN_USNR_STELIG,U.S. NEWS RANK,ELIGIBLE FOR STATE-LEVEL RANKINGS,Eligible for State-Level Rankings (U.S. News Values),Eligible for State-Level Rankings for the Cancer specialty in the 2026-2027 USNWR methodology (U.S. News Values domain).,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_EXPOP_NORM,EXPERT OPINION WITH SPECIALISTS,NORMALIZED SCORE,Expert Opinion - normalized score (Process),Normalized score for Expert Opinion With Specialists used in the Cancer specialty ranking (Process domain).,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_EXPOP_EORV,EXPERT OPINION WITH SPECIALISTS,EXPERT OPINION - RX VALUE (WEIGHTED SCORE),Expert Opinion - Rx Value (weighted score) (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_EXPOP_EORV,EXPERT OPINION WITH SPECIALISTS,EXPERT OPINION - RX VALUE (WEIGHTED SCORE),Expert Opinion - Rx Value (weighted score) (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_EXPOP_EORV,EXPERT OPINION WITH SPECIALISTS,EXPERT OPINION - RX VALUE (WEIGHTED SCORE),Expert Opinion - Rx Value (weighted score) (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_EXPOP_BAND,EXPERT OPINION WITH SPECIALISTS,BAND,Expert Opinion Band (Process),Performance band assigned for Expert Opinion With Specialists in the Cancer specialty (Process domain).,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,MEASURE,CANCER,M_CAN_EXPOP_OVERALL,EXPERT OPINION WITH SPECIALISTS,OVERALL,Expert Opinion with Specialists (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_EXPOP_OVERALL,EXPERT OPINION WITH SPECIALISTS,OVERALL,Expert Opinion with Specialists (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_EXPOP_OVERALL,EXPERT OPINION WITH SPECIALISTS,OVERALL,Expert Opinion with Specialists (Process),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_FACT_NORM,ACCREDITED BY FACT,NORMALIZED SCORE,FACT Accreditation - Normalized Score (Structure),Normalized score for Accredited By Fact used in the Cancer specialty ranking (Structure domain).,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_ADV_FFDM,ADVANCED TECHNOLOGIES,FULL-FIELD DIGITAL MAMMOGRAPHY,Full-field digital mammography (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_ADV_FFDM,ADVANCED TECHNOLOGIES,FULL-FIELD DIGITAL MAMMOGRAPHY,Full-field digital mammography (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_SVC_GTC,PATIENT SERVICES,GENETIC TESTING/COUNSELING,Genetic Testing/Counseling (Structure),N/A,STRING,HIGHER,,,,,
