REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_ODDS_RATIO,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS ODDS RATIO (OUTCOMES),Prolonged Hospitalizations Odds Ratio (Outcomes),Risk-adjusted odds ratio for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_PREDICTED_VALUE,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS PREDICTED VALUE (OUTCOMES),Prolonged Hospitalizations Predicted Value (Outcomes),Model-predicted (expected) value for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_RANDOM_EFFECTS,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS RANDOM EFFECTS (OUTCOMES),Prolonged Hospitalizations Random Effects (Outcomes),Hospital-specific random-effects (shrunken) estimate for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_RANDOM_EFFECTS,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS RANDOM EFFECTS (OUTCOMES),Prolonged Hospitalizations Random Effects (Outcomes),Hospital-specific random-effects (shrunken) estimate for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_RANDOM_EFFECTS_STANDARD_ERROR,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS RANDOM EFFECTS STANDARD ERROR (OUTCOMES),Prolonged Hospitalizations Random Effects Standard Error (Outcomes),Standard error of the hospital random-effects estimate for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_SCORE,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS SCORE (OUTCOMES),Prolonged Hospitalizations Score (Outcomes),Points contributed to the U.S. News score for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_STANDARD_ERROR,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS STANDARD ERROR (OUTCOMES),Prolonged Hospitalizations Standard Error (Outcomes),Standard error of the estimate for avoiding an unexpectedly long hospital stay.,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_RECOGNIZED_CANCER_CENTER,RECOGNIZED CANCER CENTER,RECOGNIZED CANCER CENTER (STRUCTURE),Recognized cancer center (Structure),"Recognition as a designated cancer center (e.g., NCI designation).",,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_RECOGNIZED_CANCER_CENTER,RECOGNIZED CANCER CENTER,RECOGNIZED CANCER CENTER (STRUCTURE),Recognized Cancer Center (Structure),"Recognition as a designated cancer center (e.g., NCI designation).",,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_RECOGNIZED_CANCER_CENTER_SCORE,RECOGNIZED CANCER CENTER,RECOGNIZED CANCER CENTER SCORE (STRUCTURE),Recognized Cancer Center Score (Structure),"Points contributed to the U.S. News score for recognition as a designated cancer center (e.g., NCI designation).",,DECIMAL_2,HIGHER,,,,
